hiep@hiep-Inspiron-3558:~$ ps aux
USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      1340  0.0  0.0      0     0 ?        S<   08:49   0:00 [krfcommd]
hiep      1351  0.2  0.2 379596 10568 tty2     Sl   08:49   0:09 ibus-daemon --x
hiep      1355  0.0  0.2 298320  8776 tty2     Sl   08:49   0:00 /usr/lib/ibus/i
hiep      1357  0.0  0.5 357784 22672 tty2     Sl   08:49   0:00 /usr/lib/ibus/i
hiep      1359  0.0  0.2 296268  8844 ?        Sl   08:49   0:00 /usr/lib/ibus/i
hiep      1370  0.0  0.5 696420 21640 ?        Sl   08:49   0:00 /usr/lib/gnome-
hiep      1377  0.0  0.6 1375924 27312 ?       Ssl  08:49   0:00 /usr/lib/evolut
hiep      1384  0.0  0.2 321716 11268 ?        Ssl  08:49   0:00 /usr/lib/gvfs/g
hiep      1388  0.0  0.2 380352  7924 ?        Ssl  08:49   0:00 /usr/lib/gvfs/g
hiep      1395  0.0  0.8 778000 32048 ?        Sl   08:49   0:00 /usr/lib/gnome-
hiep      1396  0.0  0.1 277412  6312 ?        Ssl  08:49   0:00 /usr/lib/gvfs/g
hiep      1400  0.0  0.1 290332  6864 ?        Ssl  08:49   0:00 /usr/lib/gvfs/g
hiep      1406  0.0  0.1 275584  5980 ?        Ssl  08:49   0:00 /usr/lib/gvfs/g
hiep      1415  0.0  0.2 321124 10240 ?        Sl   08:49   0:00 /usr/lib/gnome-
hiep      1420  0.0  0.6 528904 24368 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1422  0.0  0.2 350856 10616 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1423  0.0  0.1 424884  6072 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1425  0.0  0.1 277272  4844 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1427  0.0  0.3 472856 12260 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1430  0.0  0.2 344628 10212 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1434  0.0  0.5 506196 23488 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1442  0.0  0.5 442240 22832 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1444  0.0  0.2 394248 10276 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1455  0.0  0.5 357404 21960 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1456  0.0  0.2 298184  8668 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1457  0.0  0.3 478108 15596 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1458  0.0  0.6 679828 25096 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1461  0.0  0.5 509684 22176 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
